GapLength,Station,GapID,Date,TrueValue,PredictedValue
7,andhiyarkhore,1,1993-04-15,0.22,3.1891
7,andhiyarkhore,1,1993-04-16,0.561,3.888490000000001
7,andhiyarkhore,1,1993-04-17,0.217,4.119190000000001
7,andhiyarkhore,1,1993-04-18,0.22,4.172680000000001
7,andhiyarkhore,1,1993-04-19,0.22,4.177130000000001
7,andhiyarkhore,1,1993-04-20,0.212,4.111450000000001
7,andhiyarkhore,1,1993-04-21,0.208,4.073930000000002
7,andhiyarkhore,1,1993-04-22,0.196,0.196
7,andhiyarkhore,2,1990-08-13,131.34,33.75106999999999
7,andhiyarkhore,2,1990-08-14,33.97,49.24022
7,andhiyarkhore,2,1990-08-15,90.0,58.050009999999986
7,andhiyarkhore,2,1990-08-16,36.64,65.20525999999997
7,andhiyarkhore,2,1990-08-17,44.23,78.75129999999997
7,andhiyarkhore,2,1990-08-18,34.44,77.47597999999999
7,andhiyarkhore,2,1990-08-19,137.0,69.15640000000002
7,andhiyarkhore,2,1990-08-20,42.96,42.96
7,andhiyarkhore,3,1992-08-23,140.4,62.56100000000003
7,andhiyarkhore,3,1992-08-24,180.6,61.77108000000002
7,andhiyarkhore,3,1992-08-25,73.87,62.996640000000035
7,andhiyarkhore,3,1992-08-26,74.4,71.29904000000002
7,andhiyarkhore,3,1992-08-27,31.27,59.30571
7,andhiyarkhore,3,1992-08-28,17.37,49.91244999999999
7,andhiyarkhore,3,1992-08-29,13.07,41.017830000000025
7,andhiyarkhore,3,1992-08-30,11.21,11.21
7,bamnidhi,1,1992-09-20,55.0,115.39520000000002
7,bamnidhi,1,1992-09-21,47.18,74.46789999999999
7,bamnidhi,1,1992-09-22,42.81,67.71540999999999
7,bamnidhi,1,1992-09-23,35.28,49.36560999999997
7,bamnidhi,1,1992-09-24,33.48,43.6932
7,bamnidhi,1,1992-09-25,28.94,41.037
7,bamnidhi,1,1992-09-26,25.75,40.96979999999999
7,bamnidhi,1,1992-09-27,35.0,35.0
7,bamnidhi,2,1994-11-30,62.41,27.895959999999995
7,bamnidhi,2,1994-12-01,147.1,36.89475999999999
7,bamnidhi,2,1994-12-02,62.7,25.00606
7,bamnidhi,2,1994-12-03,77.94,24.512330000000002
7,bamnidhi,2,1994-12-04,140.7,34.47369999999999
7,bamnidhi,2,1994-12-05,161.2,24.96064999999999
7,bamnidhi,2,1994-12-06,138.9,30.074359999999984
7,bamnidhi,2,1994-12-07,168.8,168.8
7,bamnidhi,3,1994-09-19,200.3,788.1500999999996
7,bamnidhi,3,1994-09-20,348.0,681.6229
7,bamnidhi,3,1994-09-21,222.0,455.68320000000017
7,bamnidhi,3,1994-09-22,169.0,245.81249999999997
7,bamnidhi,3,1994-09-23,122.8,191.19120000000007
7,bamnidhi,3,1994-09-24,115.0,167.97119999999995
7,bamnidhi,3,1994-09-25,108.3,178.33119999999997
7,bamnidhi,3,1994-09-26,96.0,96.0
