max_iter,time_sec,KGE,NSE,RMSE,MAE
1,18.89,0.8489540085475247,0.8391474963337866,489.8064013699619,122.40013056161678
3,37.83,0.8650752593927687,0.8366949218114756,493.52639995310074,114.41611250405147
5,41.76,0.8705503907181977,0.8300785173078749,503.42489556413915,116.77920562642299
10,74.93,0.8716952249262534,0.8316340137516594,501.11537006634916,114.96555716504565
15,112.06,0.8686435654608471,0.8408376083971352,487.22635527268557,111.33028419744707
20,195.82,0.8679328456098592,0.8422621888955273,485.04099834185973,111.45121272304026
