n_estimators,time_sec,KGE,NSE,RMSE,MAE
10,36.24,0.8347352516618802,0.8207742256137115,517.024087655585,122.57142369894558
50,74.72,0.8705503907181977,0.8300785173078749,503.42489556413915,116.77920562642299
100,115.36,0.8672719725878351,0.8338594021097208,497.79259130730105,114.68886172955396
200,182.16,0.8736440056172682,0.8319463396851839,500.6503593465162,115.21298859661766
300,283.53,0.8664378991734012,0.8433903538960392,483.3033419906615,111.60435409239992
