Name of site,Latitude (N),Longitude (E)
usgs_01076500,43.759167,-71.686111
usgs_01078000,43.567778,-71.748333
usgs_01064500,43.990833,-71.091389
usgs_01048000,44.707222,-69.939167
usgs_01022500,44.608056,-67.936111
usgs_01054200,44.390833,-70.979722
usgs_01052500,44.877778,-71.056944
usgs_01010000,46.7,-69.716389
usgs_01055000,44.642222,-70.588056
usgs_01047000,44.869167,-69.955556
