Latitude (N),Longitude (E),Name of site
"11°32'23""","76°41'23""",then1
"11°23'44""","76°54'27""",savan
"12°13'21""","76°3'35""",kmvad
"11°11'18""","76°40'41""",nelli
"12°31'10""","76°40'1""",bilig
"12°58'45""","76°54'4""",tkhal
"11°55'59""","77°5'6""",musir
"11°41'52""","76°2'23""",mutha
"10°34'33""","77°36'42""",ll1
"12°16'23""","76°53'32""",kodum
"12°23'48""","75°47'14""",kudig
"12°25'43""","76°51'1""",urach
