,RMSE,MAE,R2,NSE,KGE
Standard (Unordered),1120.297523535035,220.05206631652877,0.6313370621617296,0.6313370621617296,0.5716305780756195
Ordered (Most Full First),1125.0294941941056,219.0866538981401,0.6282161296816331,0.6282161296816331,0.5777994450797379
