,RMSE,MAE,R2,NSE,KGE
Standard (Unordered),1122.0357103185238,219.82728428301687,0.6301921838591805,0.6301921838591805,0.5720560003605322
Ordered (Most Full First),1022.5855873076667,192.0848245414952,0.6928418364264921,0.6928418364264921,0.6551969861556038
