Configuration,Seed,Time_Sec,KGE,NSE,RMSE
Baseline_Light,42,89.20249938964844,0.6834226833998469,0.8083457776881485,848.4795455777889
Winner_Combined,42,668.4052042961121,0.6719682975207746,0.8090629587825247,846.8905280690012
Baseline_Light,123,74.01313328742981,0.8554728552325501,0.8551401494032724,429.0000984648724
Winner_Combined,123,408.4123270511627,0.8580038961324586,0.865716831536774,413.04195288456117
Baseline_Light,2024,52.29621148109436,0.6754813091973584,0.7809373073602355,751.3842708664212
Winner_Combined,2024,411.07791209220886,0.693312582369848,0.799372852593454,719.0725956997605
Baseline_Light,777,77.37421894073486,0.7211287131297359,0.8264307620485029,622.1619391767839
Winner_Combined,777,350.2274560928345,0.7298185522404316,0.8365355532683998,603.7799896853393
Baseline_Light,99,58.81216883659363,0.7433091519208699,0.8711537613567589,578.2668697050195
Winner_Combined,99,358.2707486152649,0.7411380701987365,0.8702709190600355,580.2446027529242
