,RMSE,MAE,R2,NSE,KGE
Standard (Unordered),1092.3561314440603,216.15981564291724,0.6494974118488783,0.6494974118488783,0.5934901329847335
Ordered (Most Full First),1021.9872608664567,191.85363258735362,0.6932011747294143,0.6932011747294143,0.642973064313537
